Infected County,Human WNV,Species Richness,All Birds,Corvids,Sparrows,Robins,Thrushes,Finches
"Winnebago, WI                   ",0.638,82,2141,57,111,105,111,110
"Chilton, AL                         ",0,63,513,54,1,1,23,26
"Cleburne, AL                        ",0,68,644,91,6,7,27,9
"Tallapoosa, AL                      ",0,39,226,19,0,1,6,1
"Perry, AL                           ",0,67,645,56,0,2,35,4
"Choctaw, AL                         ",0,66,1354,168,6,0,63,20
"Franklin, AL                        ",0,63,730,14,15,6,35,5
"Washington, AL                      ",0,47,373,71,0,0,7,7
"Lowndes, AL                         ",0,59,761,43,0,0,12,15
"Pickens, AL                         ",0,61,409,48,0,4,25,6
"Tolland, CT                         ",0,65,476,70,0,43,58,15
"Caroline, MD                    ",0,79,2294,170,141,286,334,154
"Pasco, FL                       ",0,54,670,75,7,0,4,2
"Pulaski, GA                     ",0,56,456,63,5,0,6,15
"Warren, IL                      ",0,30,374,6,24,38,41,3
"Livingston, IL                  ",0,48,1098,18,142,91,91,27
"Cass, IL                        ",0,56,675,21,38,52,56,35
"Monroe, IL                      ",0,68,1364,29,92,65,73,68
"Jo Daviess, IL                  ",0,58,912,34,75,27,36,41
"Woodford, IL                    ",0,42,482,18,26,46,50,7
"Boone, IL                       ",0,51,777,39,40,75,78,31
"Cass, IN                        ",0,64,1198,57,84,123,136,63
"Lawrence, IN                    ",0,73,1056,71,34,39,60,68
"Warrick, IN                     ",0,55,962,26,17,92,98,47
"Warren, KY                      ",0,61,1373,31,59,67,82,55
"Calvert, MD                     ",0,65,730,47,27,57,85,70
"Harford, MD                     ",0,61,880,63,20,55,86,45
"Carroll, MD                     ",0,74,3247,220,228,287,383,205
"Jefferson, WV                   ",0,65,1481,70,36,46,57,90
"Rockingham, NH                  ",0,61,566,42,26,47,75,22
"Hillsborough, NH                ",0,51,334,36,0,42,59,25
"Hampshire, MA                   ",0,93,1698,101,23,181,267,75
"Berrien, MI                     ",0,42,1140,106,44,79,84,40
"Calhoun, MI                     ",0,63,858,53,34,50,56,57
"Tuscola, MI                     ",0,68,1277,69,30,60,69,66
"Sumter, AL                      ",0,58,646,73.77160494,5.981481481,0,11.96296296,51.83950617
"Atlantic, NJ                    ",0,68,739,79,20,78,88,18
"Somerset, NJ                    ",0,61,879,58,9,86,94,26
"Tioga, NY                       ",0,56,658,49,13,67,82,7
"Franklin, NY                    ",0,60,916,32,0,41,94,13
"Cattaraugus, NY                 ",0,81,1382,124,31,84,96,117
"Seneca, NY                      ",0,66,1891,50,70,95,106,94
"Morrow, OH                      ",0,53,750,38,46,95,103,31
"Pike, OH                        ",0,49,393,22,0,12,47,32
"Butler, PA                      ",0,68,599,23,13,58,62,32
"Crawford, PA                    ",0,72,1129,61,5,96,99,49
"Fulton, PA                      ",0,76,1184,76,22,73,92,119
"Chester, PA                     ",0,57,986,42,34,91,93,41
"Tioga, PA                       ",0,76,792,59,9,41,43,36
"Bucks, PA                       ",0,55,797,72,12,66,69,59
"Fayette, PA                     ",0,76,904,46,13,81,84,63
"Fayette, TN                     ",0,56,827,67,51,39,52,70
"Macon, TN                       ",0,73,998,57,14,20,52,99
"Kanawha, WV                     ",0,59,745,48,0,41,87,61
"Ritchie, WV                     ",0,73,849,36,10,59,141,45
"Juneau, WI                      ",0,57,459,48,0,18,28,20
"Taylor, WI                      ",0,90,1861,185,97,119,134,98
"Rock, WI                        ",0,50,571,66,16,41,42,40
"Oneida, WI                      ",0,73,699,63,2,38,63,45
"Sheboygan, WI                   ",0,64,992,59,41,52,53,36
"Oconto, WI                      ",0,78,1131,105,40,63,79,79
"Green Lake, WI                  ",0,75,1451,111,122,73,90,130
"Walworth, WI                    ",0,61,932,43,23,81,85,65
"Chippewa, WI                    ",0,80,903,57,17,49,58,37
"Iowa, WI                        ",0,59,757,49,39,40,43,44
"Fond du Lac, WI                 ",0,69,1868,82,124,97,107,69
