YEAR,MONTH,DATE,SITE,TRANSECT,QUAD,SIDE,FRONDS,HLD_DIAM,OBS_CODE
2009,7,7/20/05,NAPL,5,20,I,2,,75
2009,7,7/20/05,NAPL,5,20,O,19,50,75
2009,7,7/20/05,NAPL,5,40,I,0,,75
2009,7,7/20/05,NAPL,5,40,O,0,,75
2009,7,7/20/05,NAPL,6,20,I,0,,75
2009,7,7/20/05,NAPL,6,20,O,1,,75
2009,7,7/20/05,NAPL,6,40,I,5,,75
2009,7,7/20/05,NAPL,6,40,I,5,,75
2009,7,7/20/05,NAPL,6,40,O,13,25,75
2009,7,7/21/05,NAPL,7,20,I,1,,77
2009,7,7/21/05,NAPL,7,20,O,37,75,77
2009,7,7/21/05,NAPL,7,20,O,7,27,77
2009,7,7/21/05,NAPL,7,20,O,2,,77
2009,7,7/21/05,NAPL,7,20,O,1,,77
2009,7,7/21/05,NAPL,7,40,I,1,,77
2009,7,7/21/05,NAPL,7,40,O,1,,77
2009,7,7/21/05,NAPL,7,40,O,5,25,77
2009,7,7/21/05,NAPL,8,20,I,9,42,77
2009,7,7/21/05,NAPL,8,20,I,4,28,77
2009,7,7/21/05,NAPL,8,20,O,2,,77
2009,7,7/21/05,NAPL,8,40,I,1,,77
2009,7,7/21/05,NAPL,8,40,O,7,75,77
