SurveyRegion	Year	DateTime	Latitude	Longitude	DATE	DATEnum	SITE	substrate	TIME	Number	OBS	WIND	SKY	PRECIP	TEMP	AIRCRAFT	ALT	TideStation	TideHtMeters	TideRelToLow	MinutesToLow	NearestLowMeters	MinutesToHigh	NearestHighMeters	StationLat	StationLon	StationDist
SSEAK	1998	8/20/1998 8:09	56.3239	-133.1565	8/20/1998	36027	Bay	sand	8:09	245	Bengtson	lt. breeze (6-15 kts)	clear	none	41-50 F	Cessna 206	650	"Red Bay, Prince of Wales Island, Alaska"	0.25	0.73	-98	-0.48	282	4.17	56.3	-133.3166	10224
SSEAK	1998	8/23/1998 7:52	56.3239	-133.1565	8/23/1998	36030	Bay	sand	7:52	89	Bengtson	calm (<5 kts)	fog	none	41-50 F	Cessna 206		"Red Bay, Prince of Wales Island, Alaska"	-0.41	0.08	29	-0.49	-348	4.74	56.3	-133.3166	10224
SSEAK	1998	8/25/1998 8:24	56.3239	-133.1565	8/25/1998	36032	Bay	sand	8:24	80	Bengtson	lt. breeze (6-15 kts)	fog	none	41-50 F	Cessna 206	500	"Red Bay, Prince of Wales Island, Alaska"	0.25	0.31	62	-0.06	-309	4.38	56.3	-133.3166	10224
SSEAK	1998	8/18/1998 17:06	56.2565	-133.86	8/18/1998	36025	Beauclerc I.	rock	17:06	302	Seagars					Cessna 185	625	"Port Beauclerc, Kuiu Island, Alaska"	0.9	0.02	-21	0.88	339	3.53	56.2833	-133.95	6305
SSEAK	1998	8/19/1998 7:23	56.2565	-133.86	8/19/1998	36026	Beauclerc I.	rock	7:23	258	Seagars		high overcast	none	51-60 F	Cessna 185	600	"Port Beauclerc, Kuiu Island, Alaska"	0.23	0.56	-104	-0.33	286	3.1	56.2833	-133.95	6305
SSEAK	1998	8/21/1998 7:08	56.2565	-133.86	8/21/1998	36028	Beauclerc I.	rock	7:08	282	Seagars		clear	none	41-50 F	Cessna 185	625	"Port Beauclerc, Kuiu Island, Alaska"	-0.44	0	-4	-0.44	379	3.35	56.2833	-133.95	6305
SSEAK	1998	8/24/1998 8:14	56.2565	-133.86	8/24/1998	36031	Beauclerc I.	rock	8:14	150	Seagars	lt. winds (16-25 kts)	fog	drizzle	51-60 F	Cessna 185	625	"Port Beauclerc, Kuiu Island, Alaska"	-0.12	0.06	31	-0.18	-351	3.53	56.2833	-133.95	6305
SSEAK	1998	8/26/1998 11:46	56.2565	-133.86	8/26/1998	36033	Beauclerc I.	rock	11:46	192	Seagars	lt. winds (16-25 kts)	fog	rain	51-60 F	Cessna 185	600	"Port Beauclerc, Kuiu Island, Alaska"	0.92	0.71	-119	0.21	256	3.35	56.2833	-133.95	6305
SSEAK	1998	8/20/1998 8:51	56.0374	-132.8717	8/20/1998	36027	Beck	rock	8:51	31	Bengtson	lt. breeze (6-15 kts)	clear	none	41-50 F	Cessna 206	650	"Lake Bay, Alaska"	1.07	1.58	-146	-0.51	246	4.57	56.0167	-132.9166	3618
SSEAK	1998	8/22/1998 8:23	56.0374	-132.8717	8/22/1998	36029	Beck	rock	8:23	48	Bengtson	calm (<5 kts)	low overcast	none	41-50 F	Cessna 206	650	"Lake Bay, Alaska"	-0.45	0.16	-42	-0.61	347	4.86	56.0167	-132.9166	3618
SSEAK	1998	8/23/1998 8:09	56.0374	-132.8717	8/23/1998	36030	Beck	rock	8:09	44	Bengtson	calm (<5 kts)	fog	none	41-50 F	Cessna 206		"Lake Bay, Alaska"	-0.52	0	6	-0.52	-359	5.13	56.0167	-132.9166	3618
SSEAK	1998	8/24/1998 9:57	56.0374	-132.8717	8/24/1998	36031	Beck	rock	9:57	27	Bengtson	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 206		"Lake Bay, Alaska"	0.08	0.42	-69	-0.34	317	4.85	56.0167	-132.9166	3618
SSEAK	1998	8/25/1998 8:02	56.0374	-132.8717	8/25/1998	36032	Beck	rock	8:02	30	Bengtson	lt. breeze (6-15 kts)	fog	drizzle	41-50 F	Cessna 206	500	"Lake Bay, Alaska"	0.45	0.54	78	-0.09	-281	4.78	56.0167	-132.9166	3618
SSEAK	1998	8/22/1998 8:17	54.8795	-131.5633	8/22/1998	36029	Bee Rocks	rock	8:17	4	Olesiuk	lt. winds (16-25 kts)	high overcast	none	51-60 F	Cessna 185	600	"Kelp Island Passage, Duke Island"	-0.48	0.1	-34	-0.58	339	4.46	54.8833	-131.3	16846
SSEAK	1998	8/25/1998 7:49	54.8795	-131.5633	8/25/1998	36032	Bee Rocks	rock	7:49	0	Withrow	lt. breeze (6-15 kts)	partly cloudy	none	51-60 F	Cessna 185	600	"Kelp Island Passage, Duke Island"	0.61	0.67	93	-0.06	-282	4.38	54.8833	-131.3	16846
SSEAK	1998	8/25/1998 8:25	54.8795	-131.5633	8/25/1998	36032	Bee Rocks	rock	8:25	0	Withrow	lt. breeze (6-15 kts)	partly cloudy	none	51-60 F	Cessna 185	600	"Kelp Island Passage, Duke Island"	0.2	0.26	57	-0.06	-318	4.38	54.8833	-131.3	16846
SSEAK	1998	8/21/1998 9:48	54.8822	-132.4481	8/21/1998	36028	Bird Rock - SSEAK	rock	9:48	125	Westlake	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 185	500	"Kassa Inlet entrance, Alaska"	0.94	1.32	-151	-0.38	230	3.57	54.9333	-132.5166	7174
SSEAK	1998	8/22/1998 9:21	54.8822	-132.4481	8/22/1998	36029	Bird Rock - SSEAK	rock	9:21	131	Westlake	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	500	"Kassa Inlet entrance, Alaska"	0.15	0.5	-88	-0.35	290	3.63	54.9333	-132.5166	7174
SSEAK	1998	8/23/1998 10:16	54.8822	-132.4481	8/23/1998	36030	Bird Rock - SSEAK	rock	10:16	70	Westlake	calm (<5 kts)	high overcast	none	51-60 F	Cessna 185	500	"Kassa Inlet entrance, Alaska"	0.49	0.75	-109	-0.26	266	3.66	54.9333	-132.5166	7174
SSEAK	1998	8/24/1998 8:55	54.8822	-132.4481	8/24/1998	36031	Bird Rock - SSEAK	rock	8:55	100	Westlake	lt. breeze (6-15 kts)	fog	none	51-60 F	Cessna 185	500	"Kassa Inlet entrance, Alaska"	-0.12	0	3	-0.12	378	3.66	54.9333	-132.5166	7174
SSEAK	1998	8/26/1998 9:08	54.8822	-132.4481	8/26/1998	36033	Bird Rock - SSEAK	rock	9:08	160	Westlake	calm (<5 kts)	low overcast	drizzle	51-60 F	Cessna 185	500	"Kassa Inlet entrance, Alaska"	0.42	0.15	52	0.27	-320	3.43	54.9333	-132.5166	7174
SSEAK	1998	8/26/1998 9:28	54.8965	-132.3091	8/26/1998	36033	Biscuit Lagoon	rock	9:28	6	Westlake	calm (<5 kts)	low overcast	drizzle	51-60 F	Cessna 185	500	"Hunter Bay, Alaska"	0.34	0.07	34	0.27	-339	3.46	54.8667	-132.3166	3350
SSEAK	1998	8/24/1998 7:28	55.2167	-131.1333	8/24/1998	36031	Black I.	rock	7:28	10	Swain	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 185	700	"Alava Bay, Alaska"	0.19	0.5	75	-0.31	-298	4.78	55.2333	-131.1333	1847
SSEAK	1998	8/25/1998 11:21	55.2167	-131.1333	8/25/1998	36032	Black I.	rock	11:21	56	Swain	lt. breeze (6-15 kts)	high overcast	none	51-60 F	Cessna 185	600	"Alava Bay, Alaska"	1.13	1.19	-126	-0.06	249	4.54	55.2333	-131.1333	1847
SSEAK	1998	8/26/1998 11:35	55.2167	-131.1333	8/26/1998	36033	Black I.	rock	11:35	0	Swain	lt. breeze (6-15 kts)	fog	rain	51-60 F	Cessna 185	600	"Alava Bay, Alaska"	1.06	0.81	-108	0.25	267	4.39	55.2333	-131.1333	1847
SSEAK	1998	8/19/1998 17:56	56.085	-132.0873	8/19/1998	36026	Blanche	rock	17:56	1	Bengtson	lt. winds (16-25 kts)	partly cloudy	none	51-60 F	Cessna 206	700	"Blake Island, Bradfield Canal, Alaska"	0.83	0	-3	0.83	-341	4.51	56.2167	-131.9166	18056
SSEAK	1998	8/20/1998 6:35	56.085	-132.0873	8/20/1998	36027	Blanche	rock	6:35	14	Bengtson	lt. breeze (6-15 kts)	clear	none	41-50 F	Cessna 206	650	"Blake Island, Bradfield Canal, Alaska"	-0.51	0	-5	-0.51	383	4.75	56.2167	-131.9166	18056
SSEAK	1998	8/21/1998 6:43	56.085	-132.0873	8/21/1998	36028	Blanche	rock	6:43	11	Bengtson	calm (<5 kts)	partly cloudy	none	41-50 F	Cessna 206	650	"Blake Island, Bradfield Canal, Alaska"	-0.53	0.08	27	-0.61	-350	5.33	56.2167	-131.9166	18056
SSEAK	1998	8/22/1998 6:32	56.085	-132.0873	8/22/1998	36029	Blanche	rock	6:32	2	Bengtson	calm (<5 kts)	fog	drizzle	41-50 F	Cessna 206	650	"Blake Island, Bradfield Canal, Alaska"	-0.05	0.56	74	-0.61	-299	5.37	56.2167	-131.9166	18056
SSEAK	1998	8/23/1998 6:35	56.085	-132.0873	8/23/1998	36030	Blanche	rock	6:35	6	Bengtson	calm (<5 kts)	fog	none	41-50 F	Cessna 206		"Blake Island, Bradfield Canal, Alaska"	0.58	1.1	105	-0.52	-264	5.32	56.2167	-131.9166	18056
SSEAK	1998	8/24/1998 8:02	56.085	-132.0873	8/24/1998	36031	Blanche	rock	8:02	17	Bengtson	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 206		"Blake Island, Bradfield Canal, Alaska"	-0.08	0.26	51	-0.34	-316	5.18	56.2167	-131.9166	18056
SSEAK	1998	8/25/1998 9:59	56.085	-132.0873	8/25/1998	36032	Blanche	rock	9:59	24	Bengtson	lt. breeze (6-15 kts)	partly cloudy	none	41-50 F	Cessna 206	500	"Blake Island, Bradfield Canal, Alaska"	0.01	0.1	-34	-0.09	347	4.93	56.2167	-131.9166	18056
SSEAK	1998	8/20/1998 8:00	55.2782	-131.67	8/20/1998	36027	Blank Inlet	rock	8:00	16	Olesiuk	lt. breeze (6-15 kts)	low overcast	drizzle	51-60 F	Cessna 185	600	"Ketchikan, Alaska"	0.25	0.73	-96	-0.48	288	4.42	55.3333	-131.625	6754
SSEAK	1998	8/25/1998 9:35	55.2782	-131.67	8/25/1998	36032	Blank Inlet	rock	9:35	16	Olesiuk	lt. winds (16-25 kts)	low overcast	none	61-70 F	Cessna 185	600	"Ketchikan, Alaska"	-0.04	0.02	-16	-0.06	361	4.6	55.3333	-131.625	6754
SSEAK	1998	8/27/1998 9:54	55.2782	-131.67	8/27/1998	36034	Blank Inlet	rock	9:54	9	Olesiuk	lt. breeze (6-15 kts)	high overcast	none	61-70 F	Cessna 185	600	"Ketchikan, Alaska"	0.66	0.06	31	0.6	-329	4.02	55.3333	-131.625	6754
SSEAK	1998	8/25/1998 8:02	55.6245	-133.4148	8/25/1998	36032	Blanquizal I.	rock	8:02	14	Brix	calm (<5 kts)	low overcast	none	51-60 F	Cessna 185	700	"Cruz Pass, San Fernando Island, Alaska"	0.27	0.27	74	0	-303	2.84	55.5333	-133.3166	11867
SSEAK	1998	8/19/1998 7:47	56.15	-132.8847	8/19/1998	36026	Blashke I.-NE rocks	rock	7:47	25	Jansen					Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	0.87	1.17	-128	-0.3	251	4.23	56.0667	-132.9666	10565
SSEAK	1998	8/20/1998 8:26	56.15	-132.8847	8/20/1998	36027	Blashke I.-NE rocks	rock	8:26	0	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	0.7	1.18	-122	-0.48	255	4.48	56.0667	-132.9666	10565
SSEAK	1998	8/21/1998 9:20	56.15	-132.8847	8/21/1998	36028	Blashke I.-NE rocks	rock	9:20	200	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	0.95	1.53	-136	-0.58	239	4.66	56.0667	-132.9666	10565
SSEAK	1998	8/24/1998 8:32	56.15	-132.8847	8/24/1998	36031	Blashke I.-NE rocks	rock	8:32	25	Jansen	lt. winds (16-25 kts)	low overcast	drizzle	41-50 F	Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	-0.29	0.02	15	-0.31	-363	4.9	56.0667	-132.9666	10565
SSEAK	1998	8/26/1998 12:42	56.15	-132.8847	8/26/1998	36033	Blashke I.-NE rocks	rock	12:42	25	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	2.16	1.91	-171	0.25	199	4.51	56.0667	-132.9666	10565
SSEAK	1998	8/19/1998 7:13	56.1618	-132.9745	8/19/1998	36026	Blashke I.-NW rocks	rock	7:13	33	Jansen					Cessna 180	400	"Exchange Cove, Alaska"	0.24	0.57	-90	-0.33	300	4.05	56.2	-133.0666	7106
SSEAK	1998	8/20/1998 8:21	56.1618	-132.9745	8/20/1998	36027	Blashke I.-NW rocks	rock	8:21	252	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Exchange Cove, Alaska"	0.45	0.96	-113	-0.51	275	4.3	56.2	-133.0666	7106
SSEAK	1998	8/21/1998 9:22	56.1618	-132.9745	8/21/1998	36028	Blashke I.-NW rocks	rock	9:22	35	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Exchange Cove, Alaska"	0.79	1.4	-134	-0.61	252	4.48	56.2	-133.0666	7106
SSEAK	1998	8/24/1998 8:15	56.1618	-132.9745	8/24/1998	36031	Blashke I.-NW rocks	rock	8:15	61	Jansen	lt. winds (16-25 kts)	low overcast	drizzle	41-50 F	Cessna 180	400	"Exchange Cove, Alaska"	-0.22	0.12	36	-0.34	-331	4.72	56.2	-133.0666	7106
SSEAK	1998	8/26/1998 12:25	56.1618	-132.9745	8/26/1998	36033	Blashke I.-NW rocks	rock	12:25	0	Jansen	calm (<5 kts)	fog	none	51-60 F	Cessna 180	400	"Exchange Cove, Alaska"	1.64	1.42	-150	0.22	231	4.33	56.2	-133.0666	7106
SSEAK	1998	8/19/1998 7:45	56.1026	-132.8492	8/19/1998	36026	Blashke I.-S.	rock	7:45	30	Jansen					Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	0.84	1.14	-126	-0.3	253	4.23	56.0667	-132.9666	8306
SSEAK	1998	8/20/1998 8:26	56.1026	-132.8492	8/20/1998	36027	Blashke I.-S.	rock	8:26	208	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	0.7	1.18	-122	-0.48	255	4.48	56.0667	-132.9666	8306
SSEAK	1998	8/21/1998 9:15	56.1026	-132.8492	8/21/1998	36028	Blashke I.-S.	rock	9:15	43	Jansen	calm (<5 kts)	partly cloudy	none	51-60 F	Cessna 180	400	"Thorne Island, Whale Passage, Alaska"	0.85	1.43	-131	-0.58	244	4.66	56.0667	-132.9666	8306
