ID,Higher.classification,Order,Family,Common.Name,Scientific Name
306,Euarchontoglires,Rodentia,Nesomyidae,*,Mystromys albicaudatus
456,Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Perameles nasuta
622,Laurasiatheria,Carnivora,Felidae,Cats,Panthera leo
250,Laurasiatheria,Chiroptera,Noctilionidae,Fishing Bats,Noctilio leporinus
86,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Uroderma bilobatum
214,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias minimus
231,Euarchontoglires,Rodentia,Cricetidae,*,Microtus townsendii
42,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura crossei
418,Euarchontoglires,Rodentia,Echimyidae,Spiny Rats,Thrichomys apereoides
435,Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Hemicentetes semispinosus
43,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Blarina carolinensis
481,Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Martes martes
172,Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus truei
188,Euarchontoglires,Rodentia,Gliridae,Dormice,Graphiurus murinus
510,Laurasiatheria,Carnivora,Viverridae,Genets & Civets,Genetta tigrina
562,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Marmota flaviventris
49,Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Histiotus velatus
19,Laurasiatheria,Chiroptera,Emballonuridae,Bumblebee bat,Saccopteryx bilineata
238,Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Eumops perotis
394,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamiasciurus hudsonicus
465,Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Echinosorex gymnura
195,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rhabdomys pumilio
114,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus agrarius
446,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus poliocephalus
506,Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Isoodon macrourus
234,Euarchontoglires,Rodentia,Cricetidae,*,Microtus breweri
310,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Myotomys unisulcatus
494,Euarchontoglires,Primates,Lorisidae,*,Nycticebus coucang
436,Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Atelerix albiventris
235,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Melonycteris melanops
539,Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Erythrocebus patas
379,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus pumilus
613,Xenarthra,Cingulata,Dasypodidae,Armadillos,Priodontes maximus
24,Laurasiatheria,Chiroptera,Hipposideridae,*,Rhinonicteris aurantia
315,Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Monodelphis domestica
421,Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys australis
533,Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Setonix brachyurus
75,Euarchontoglires,Rodentia,Heteromyidae,*,Microdipodops pallidus
601,Laurasiatheria,Artiodactyla,Cervidae,Deer,Capreolus capreolus
305,Euarchontoglires,Rodentia,Cricetidae,*,Arvicola amphibius
183,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Diaemus youngi
95,Euarchontoglires,Rodentia,Cricetidae,*,Microtus subterraneus
197,Euarchontoglires,Rodentia,Cricetidae,*,Lasiopodomys brandtii
107,Afrotheria,Afrosoricida,Chrysochloridae,Golden Moles,Eremitalpa granti
623,Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Kobus ellipsiprymnus
582,Euarchontoglires,Rodentia,Cuniculidae,*,Cuniculus paca
575,Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Canis mesomelas
626,Laurasiatheria,Carnivora,Felidae,Cats,Panthera tigris
129,Euarchontoglires,Rodentia,Gliridae,Dormice,Muscardinus avellanarius
252,Euarchontoglires,Soricomorpha,Talpidae,Moles,Scapanus orarius
347,Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Spalacopus cyanus
323,Euarchontoglires,Rodentia,Cricetidae,*,Megadontomys thomasi
611,Laurasiatheria,Artiodactyla,Antilocapridae,Pronghorn,Antilocapra americana
512,Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Vulpes macrotis
236,Euarchontoglires,Rodentia,Cricetidae,*,Phyllotis xanthopygus
69,Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Nyctinomops laticaudatus
13,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura suaveolens
179,Euarchontoglires,Rodentia,Cricetidae,*,Microtus montanus
160,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillurus tytonis
180,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus andersoni
501,Euarchontoglires,Primates,Galagidae,*,Otolemur garnettii
191,Euarchontoglires,Rodentia,Cricetidae,*,Microtus pennsylvanicus
423,Euarchontoglires,Rodentia,Cricetidae,*,Cricetus cricetus
61,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Megaloglossus woermanni
213,Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus rozeti
258,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Funisciurus anerythrus
185,Euarchontoglires,Rodentia,Spalacidae,*,Steatomys pratensis
473,Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Erinaceus concolor
269,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Meriones unguiculatus
97,Marsupialia,Diprontodontia,Burramyidae,Pygmy Possums,Cercartetus concinnus
215,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillurus setzeri
227,Euarchontoglires,Rodentia,Cricetidae,*,Calomys venustus
244,Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Hylomys suillus
230,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Eonycteris spelaea
146,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Tonatia bidens
417,Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Galea musteloides
356,Laurasiatheria,Chiroptera,Megadermatidae,False Vampire Bats,Macroderma gigas
387,Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Petrodromus tetradactylus
198,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus mystacinus
132,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus flavicollis
81,Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus crinitus
279,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Artibeus lituratus
430,Euarchontoglires,Rodentia,Chinchillidae,Viscachas & Chinchillas,Chinchilla lanigera
545,Euarchontoglires,Primates,Indridae,Indris & Sifakas,Propithecus verreauxi
228,Euarchontoglires,Rodentia,Cricetidae,*,Lemmus sibiricus
297,Euarchontoglires,Rodentia,Nesomyidae,*,Stochomys longicaudatus
143,Euarchontoglires,Rodentia,Cricetidae,*,Abrothrix olivaceus
7,Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis yumanensis
3,Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis nigricans
96,Euarchontoglires,Rodentia,Cricetidae,*,Myodes californicus
449,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus franklinii
524,Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Lepus californicus
535,Monotremata,Monotremata,Tachyglossidae,Platypus,Tachyglossus aculeatus
47,Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Miniopterus schreibersii
278,Afrotheria,Afrosoricida,Chrysochloridae,Golden Moles,Amblysomus hottentotus
351,Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys damarensis
220,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Lemniscomys griselda
402,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Funisciurus pyrropus
55,Euarchontoglires,Soricomorpha,Talpidae,Moles,Neurotrichus gibbsii
15,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Planigale ingrami
210,Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Microgale dobsoni
91,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Neomys fodiens
89,Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Tadarida brasiliensis
134,Euarchontoglires,Rodentia,Cricetidae,*,Akodon azarae
76,Euarchontoglires,Rodentia,Cricetidae,*,Scotinomys xerampelinus
498,Marsupialia,Peramelemorphia,Peramelidae,Bandicoots & Bilbies,Echymipera rufescens
173,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Phyllostomus discolor
607,Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Oreamnos americanus
411,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus richardsoni
152,Euarchontoglires,Rodentia,Cricetidae,*,Oligoryzomys longicaudatus
99,Euarchontoglires,Rodentia,Cricetidae,*,Onychomys torridus
528,Euarchontoglires,Rodentia,Capromyidae,Hutias,Geocapromys brownii
602,Euarchontoglires,Rodentia,Caviidae,Cavies & Guinea-pigs,Hydrochoeris hydrochaeris
584,Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Papio anubis
566,Euarchontoglires,Primates,Atelidae,New-world Monkeys (was Cebidae),Alouatta palliata
448,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Xerus princeps
370,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus spilosoma
167,Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Heterocephalus glaber
222,Euarchontoglires,Soricomorpha,Talpidae,Moles,Scalopus aquaticus
560,Laurasiatheria,Carnivora,Nandiniidae,Palm Civet,Nandinia binotata
247,Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys darlingi
443,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Xerus inauris
338,Euarchontoglires,Scandentia,Tupaiidae,Treeshrews,Tupaia glis
74,Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus formosus
531,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Marmota monax
624,Laurasiatheria,Artiodactyla,Camelidae,Camels,Lama glama
149,Euarchontoglires,Rodentia,Cricetidae,*,Microtus agrestis
124,Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus californicus
48,Euarchontoglires,Rodentia,Heteromyidae,*,Microdipodops megacephalus
452,Laurasiatheria,Carnivora,Mephitidae,*,Spilogale putorius
470,Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Lutreolina crassicaudata
419,Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Caluromys derbianus
399,Xenarthra,Pilosa,Cyclopedidae,Silky Anteater,Cyclopes didactylus
457,Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Tenrec ecaudatus
165,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Nyctimene albiventer
307,Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Cryptomys bocagei
445,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Pteropus giganteus
581,Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Taxidea taxus
359,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbilliscus leucogaster
632,Laurasiatheria,Artiodactyla,Cervidae,Deer,Alces alces
11,Laurasiatheria,Chiroptera,Natalidae,Thumbless Bats,Natalus tumidirostris
221,Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus californicus
292,Euarchontoglires,Rodentia,Cricetidae,*,Reithrodon auritus
242,Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys microps
105,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Artibeus concolor
200,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Mastomys natalensis
317,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbilliscus afra
186,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Alticola argentatus
135,Euarchontoglires,Rodentia,Cricetidae,*,Abrothrix lanosus
262,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Micaelamys namaquensis
314,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Otomys irroratus
475,Laurasiatheria,Carnivora,Herpestidae,Mongooses,Suricata suricatta
550,Laurasiatheria,Pholidota,Manidae,*,Manis pentadactyla
8,Laurasiatheria,Chiroptera,Emballonuridae,Bumblebee bat,Peropteryx macrotis
303,Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Heliophobius argenteocinereus
284,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias merriami
267,Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus megalops
57,Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus polionotus
551,Laurasiatheria,Carnivora,Procyonidae,Raccoons,Nasua narica
312,Euarchontoglires,Rodentia,Cricetidae,*,Mesocricetus auratus
282,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Dobsonia minor
444,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Dasyurus hallucatus
126,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Leptonycteris curasoae
587,Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Canis latrans
466,Euarchontoglires,Erinaceomorpha,Erinaceidae,Hedgehogs & Moonrats,Erinaceus europaeus
40,Marsupialia,Diprontodontia,Tarsipedidae,*,Tarsipes rostratus
140,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Antechinomys laniger
416,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus armatus
121,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Platyrrhinus lineatus
330,Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon ochrognathus
336,Euarchontoglires,Rodentia,Ctenomyidae,*,Ctenomys talarum
79,Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus intermedius
376,Euarchontoglires,Primates,Cebidae,*,Callithrix jacchus
170,Euarchontoglires,Rodentia,Cricetidae,*,Chionomys nivalis
525,Euarchontoglires,Primates,Lemuridae,Lemurs,Eulemur fulvus
327,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Cynomys ludovicanus
112,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus witherbyi
516,Afrotheria,Hyracoidea,Procaviidae,Hyraxes,Heterohyrax brucei
83,Euarchontoglires,Rodentia,Cricetidae,*,Calomys lepidus
397,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus lateralis
257,Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus myurus
453,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Sciurus aberti
373,Euarchontoglires,Rodentia,Cricetidae,*,Neotoma albigula
302,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias striatus
497,Laurasiatheria,Carnivora,Canidae,Dogs & Foxes,Vulpes zerda
148,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Diphylla ecaudata
415,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus beldingi
610,Laurasiatheria,Carnivora,Felidae,Cats,Puma concolor
44,Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Plecotus auritus
285,Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Jaculus jaculus
151,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Antechinus stuartii
532,Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Lagorchestes conspicillatus
300,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Parotomys brantsii
187,Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys nitratoides
176,Marsupialia,Notoryctemorphia,Notoryctidae,Marsupial Moles,Notoryctes caurinus
125,Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Napaeozapus insignis
619,Laurasiatheria,Artiodactyla,Cervidae,Deer,Cervus elaphus
555,Xenarthra,Pilosa,Myrmecophagidae,American Anteaters,Tamandua mexicana
574,Marsupialia,Diprontodontia,Macropodidae,Kangaroos & Wallabies,Dendrolagus matschiei
518,Marsupialia,Diprontodontia,Phalangeridae,Brush-tail Possums & Cuscuses,Trichosurus vulpecula
281,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Desmodillus auricularis
556,Laurasiatheria,Carnivora,Procyonidae,Raccoons,Nasua nasua
6,Laurasiatheria,Chiroptera,Mormoopidae,Leaf-chinned Bats,Pteronotus quadridens
322,Euarchontoglires,Rodentia,Cricetidae,*,Neotoma lepida
246,Euarchontoglires,Rodentia,Cricetidae,*,Dicrostonyx groenlandicus
80,Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Syconycteris australis
255,Euarchontoglires,Rodentia,Cricetidae,*,Loxodontomys micropus
77,Laurasiatheria,Chiroptera,Molossidae,Free-tailed Bats,Molossus molossus
579,Euarchontoglires,Primates,Cercopithecidae,Old-world Monkeys,Cercopithecus mitis
398,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus mohavensis
620,Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Ovis canadensis
225,Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus edwardii
627,Laurasiatheria,Carnivora,Phocidae,Earless Seals,Pagophilus groenlandicus
559,Marsupialia,Diprontodontia,Phalangeridae,Brush-tail Possums & Cuscuses,Spilocuscus maculatus
630,Laurasiatheria,Perissodactyla,Equidae,Horses,Equus asinus
329,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Myotomys sloggetti
382,Euarchontoglires,Rodentia,Gliridae,Dormice,Glis glis
2,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Sorex cinereus
37,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Glossophaga soricina
39,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura hildegardeae
529,Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Didelphis virginiana
586,Laurasiatheria,Artiodactyla,Bovidae,"Cattle, Antelopes, Sheep & Goats",Raphicerus campestris
385,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Spermophilus tridecemlineatus
572,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Sarcophilus harrisii
63,Marsupialia,Diprontodontia,Burramyidae,Pygmy Possums,Cercartetus lepidus
142,Laurasiatheria,Chiroptera,Noctilionidae,Fishing Bats,Noctilio albiventris
12,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Cryptotis parva
353,Euarchontoglires,Rodentia,Cricetidae,*,Sigmodon hispidus
522,Laurasiatheria,Carnivora,Eupleridae,*,Fossa fossana
264,Euarchontoglires,Rodentia,Sciuridae,Squirrels,Glaucomys volans
546,Xenarthra,Pilosa,Myrmecophagidae,American Anteaters,Tamandua tetradactyla
563,Xenarthra,Cingulata,Dasypodidae,Armadillos,Cabassous centralis
426,Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Myrmecobius fasciatus
168,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Acomys subspinosus
388,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Conilurus penicillatus
59,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Pseudomys hermannsburgensis
26,Laurasiatheria,Chiroptera,Hipposideridae,*,Hipposideros galeritus
66,Euarchontoglires,Soricomorpha,Soricidae,Shrews,Neomys anomalus
320,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rattus lutreolus
9,Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis lucifugus
109,Euarchontoglires,Rodentia,Cricetidae,*,Microtus arvalis
377,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Tachyoryctes splendens
163,Euarchontoglires,Rodentia,Cricetidae,*,Cricetulus migratorius
337,Marsupialia,Didelphimorphia,Didelphidae,American Opossums,Marmosa robinsoni
294,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Pseudomys gracilicaudatus
133,Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus sylvaticus
14,Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Geogale aurita
245,Euarchontoglires,Rodentia,Cricetidae,*,Phyllotis darwini
346,Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Hemicentetes nigriceps
432,Euarchontoglires,Lagomorpha,Leporidae,Rabbits & Hares,Brachylagus idahoensis
290,Euarchontoglires,Rodentia,Cricetidae,*,Auliscomys boliviensis
50,Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Anoura caudifera
371,Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octodon bridgesi
617,Laurasiatheria,Artiodactyla,Cervidae,Deer,Odocoileus virginianus
178,Euarchontoglires,Rodentia,Cricetidae,*,Abrothrix andinus
354,Euarchontoglires,Rodentia,Geomyidae ,Pocket-gophers,Thomomys bottae
209,Marsupialia,Diprontodontia,Burramyidae,Pygmy Possums,Burramys parvus
350,Euarchontoglires,Rodentia,Cricetidae,*,Isthmomys pirrensis
357,Euarchontoglires,Rodentia,Octodontidae,Degus & Tuco-tucos,Octodontomys gliroides
538,Laurasiatheria,Carnivora,Mustelidae,"Otters, Weasels & Badgers",Eira barbara
301,Euarchontoglires,Rodentia,Spalacidae,*,Tatera indica
115,Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus eremicus
31,Euarchontoglires,Rodentia,Cricetidae,*,Reithrodontomys megalotis
392,Euarchontoglires,Primates,Cebidae,*,Saguinus geoffroyi
216,Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus intufi
274,Euarchontoglires,Rodentia,Heteromyidae,*,Heteromys anomalus
520,Xenarthra,Cingulata,Dasypodidae,Armadillos,Chaetophractus nationi
