Year,Month,Day,Extent,Missing,Month_Name
2010,6,1,11.795,0,Jun
2010,7,1,9.022,0,Jul
2010,8,1,6.623,0,Aug
2010,9,1,5.129,0,Sep
2010,10,1,5.451,0,Oct
2010,11,1,8.533,0,Nov
2010,12,1,10.673,0,Dec
2011,1,1,12.896,0,Jan
2011,2,1,14.117,0,Feb
2011,3,1,14.472,0,Mar
2011,4,1,14.529,0,Apr
2011,5,1,13.414,0,May
2011,6,1,11.829,0,Jun
2011,7,1,9.27,0,Jul
2011,8,1,6.572,0,Aug
2011,9,1,4.592,0,Sep
2011,10,1,5.162,0,Oct
2011,11,1,8.727,0,Nov
2011,12,1,11.038,0,Dec
2012,1,1,13.353,0,Jan
2012,2,1,14.11,0,Feb
2012,3,1,15.133,0,Mar
2012,4,1,15.107,0,Apr
2012,5,1,13.596,0,May
2012,6,1,12.111,0,Jun
2012,7,1,9.062,0,Jul
2012,8,1,6.255,0,Aug
2012,9,1,3.573,0,Sep
2012,10,1,4.112,0,Oct
2012,11,1,8.072,0,Nov
2012,12,1,10.896,0,Dec
2013,1,1,12.959,0,Jan
2013,2,1,14.378,0,Feb
2013,3,1,15.144,0,Mar
2013,4,1,14.787,0,Apr
2013,5,1,13.477,0,May
2013,6,1,12.24,0,Jun
2013,7,1,9.666,0,Jul
2013,8,1,6.904,0,Aug
2013,9,1,5.275,0,Sep
2013,10,1,5.871,0,Oct
2013,11,1,9.158,0,Nov
2013,12,1,11.345,0,Dec
2014,1,1,13.011,0,Jan
2014,2,1,14.241,0,Feb
2014,3,1,14.629,0,Mar
2014,4,1,14.541,0,Apr
2014,5,1,13.35,0,May
2014,6,1,12.052,0,Jun
2014,7,1,9.324,0,Jul
2014,8,1,6.984,0,Aug
2014,9,1,5.38,0,Sep
2014,10,1,5.683,0,Oct
2014,11,1,9.17,0,Nov
2014,12,1,11.473,0,Dec
2015,1,1,13.073,0,Jan
2015,2,1,14.246,0,Feb
2015,3,1,14.533,0,Mar
2015,4,1,14.241,0,Apr
2015,5,1,13.142,0,May
2015,6,1,11.568,0,Jun
2015,7,1,9.842,0,Jul
2015,8,1,6.708,0,Aug
2015,9,1,4.466,0,Sep
2015,10,1,5.356,0,Oct
2015,11,1,8.909,0,Nov
2015,12,1,11.064,0,Dec
2016,2,1,13.972,0,Feb
2016,3,1,14.443,0,Mar
2016,4,1,14.172,0,Apr
2016,5,1,12.745,0,May
2016,6,1,10.998,0,Jun
2016,7,1,9.179,0,Jul
2016,8,1,6.502,0,Aug
2016,9,1,4.278,0,Sep
1979,1,2,14.997,0,Jan
1979,4,2,15.66,0,Apr
1979,5,2,14.626,0,May
1979,8,2,9,0,Aug
1979,11,2,10.144,0,Nov
1979,12,2,12.39,0,Dec
1980,2,2,15.401,0,Feb
1980,4,2,15.681,0,Apr
1980,5,2,14.718,0,May
1980,8,2,8.76,0,Aug
1980,11,2,10.42,0,Nov
1980,12,2,12.643,0,Dec
1981,2,2,15.646,0,Feb
1981,3,2,15.628,0,Mar
1981,6,2,13.059,0,Jun
1981,7,2,11.428,0,Jul
1981,9,2,7.203,0,Sep
1981,10,2,7.987,0,Oct
1982,1,2,14.479,0,Jan
1982,4,2,15.945,0,Apr
1982,5,2,14.786,0,May
1982,8,2,8.939,0,Aug
1982,11,2,10.817,0,Nov
1982,12,2,12.822,0,Dec
1983,2,2,15.737,0,Feb
1983,3,2,16.049,0,Mar
1983,6,2,12.837,0,Jun
1983,7,2,11.515,0,Jul
1983,9,2,7.321,0,Sep
1983,10,2,8.143,0,Oct
1984,1,2,14.103,0,Jan
1984,3,2,15.431,0,Mar
1984,6,2,12.828,0,Jun
1984,7,2,11.202,0,Jul
1984,9,2,6.828,0,Sep
1984,10,2,7.745,0,Oct
1985,1,2,14.045,0,Jan
1985,4,2,15.58,0,Apr
1985,5,2,14.714,0,May
1985,8,2,8.152,0,Aug
1985,11,2,10.219,0,Nov
1985,12,2,12.305,0,Dec
1986,2,2,15.331,0,Feb
1986,3,2,16.02,0,Mar
1986,6,2,12.567,0,Jun
1986,7,2,11.147,0,Jul
1986,9,2,7.229,0,Sep
1986,10,2,8.338,0,Oct
1987,1,2,14.305,0,Jan
1987,4,2,15.626,0,Apr
1987,5,2,14.292,0,May
1987,8,2,8.67,0,Aug
1987,9,2,6.89,0,Sep
1987,10,2,8.221,0,Oct
1987,11,2,10.214,0,Nov
1987,12,2,12.584,0,Dec
1988,1,13,14.826,0,Jan
