"","Year","Month","Station","DIN","DIP","CHLFa","SIL","TN","TP","SAL","T","ZS"
"124",1990,5,"N20",32.71,1.26,1.6,2.24,47.86,2.13,30.31,13.2,2
"125",1990,5,"N70",0.29,0.03,0.9,0.64,5,0.42,35.33,11.8,2
"127",1990,5,"SOEL",0.855,9.655,6.95,37.24,51.785,12.255,20.44,16.25,2
"128",1990,5,"T004",10.86,0.65,0.6,1.1,27.86,1.36,32.92,13.4,4
"129",1990,5,"T010",7.43,0.32,0.2,0.96,16.43,0.65,33.36,12.5,2
"130",1990,5,"T100",0.79,0.29,0.3,0.96,3.57,0.55,34.69,11.2,1
"131",1990,5,"T135",0.29,0.19,0.5,0.5,4.29,0.48,34.89,11.5,2
"132",1990,5,"T175",0.5,0.1,0.4,1.74,3.57,0.36,35.03,11.3,1
"133",1990,5,"T235",1.36,0.19,0.5,1.39,5,0.32,35.22,11.3,1
"134",1990,5,"VLIS",38.43,1.29,8.5,2.99,65.71,3.58,31.07,14.1,70
"135",1990,5,"W02",10.79,0.71,3,2.42,35.71,2.58,32.98,14.1,29
"136",1990,5,"W20",11.14,0.58,0.2,2.78,26.43,1.29,33.1,13.5,4
"137",1990,5,"W70",1.21,0.16,6.6,1.1,9.29,0.55,34.76,11.8,2
"138",1990,5,"WISS",12.29,0.74,3.6,4.31,27.14,2,33.05,14.9,7
"139",1990,5,"ZIJP",22.21,0.71,8.7,6.09,48.57,2.52,30.62,15.7,3
"140",1990,5,"ZUID",17.93,1.58,4.4,6.84,37.14,3,31.17,20.2,10
"141",1990,6,"DANT",2.57,1.45,6.2,8.58,22.86,3.78,32.69,18.1,33
"142",1990,6,"DREI",0.36,4.49,5.7,9.65,30.71,5.97,31.88,19,2
"144",1990,6,"GROO",107.21,3.62,2.7,72.98,163.57,7.81,19.74,18.5,57
"145",1990,6,"HAMM",13,1.1,2.2,4.31,33.57,2.16,32.52,16.7,4
"146",1990,6,"HANS",204.21,7.39,7.4,11.29,235,9.46,21.23,16.1,16
"147",1990,6,"HUIB",16,0.71,2.7,3.88,57.86,1.91,31.1,16.2,4
"148",1990,6,"LODS",0.93,0.87,4.5,1.82,22.86,2.26,32.53,17.5,3
"149",1990,6,"MARS",26,1.52,1.2,6.12,48.57,2.71,30.44,16.2,4
"155",1990,6,"SOEL",0.43,14.34,5.7,24.64,49.29,16.27,21.84,19.5,2
"156",1990,6,"T004",4.71,0.39,4.9,1.96,19.29,1.13,33.48,15.6,2
"157",1990,6,"T010",3.29,0.19,5.9,1.53,15.71,0.77,33.83,15.1,2
"158",1990,6,"T100",0.57,0.02,0.2,1,6.43,0.36,34.75,13.9,2
"159",1990,6,"T135",0.57,0.06,0.2,1.32,6.43,0.36,34.92,13.6,1
"160",1990,6,"T175",0.57,0.06,0.3,1.89,6.43,0.45,35.12,13.6,1
"161",1990,6,"T235",0.5,0.06,0.3,1.89,6.43,0.42,35.3,13.2,1
"166",1990,6,"WISS",11.5,0.94,2.6,3.63,30,2.1,32.52,16.5,5
"167",1990,6,"ZIJP",3,0.65,23.3,1.78,36.43,2.91,30.82,17.5,5
"168",1990,6,"ZUID",5.71,2.1,6.5,7.33,40,4.75,32.49,19.1,19
"169",1990,7,"DANT",5.36,1.94,7.9,6.05,43.57,5.97,31.9,17,39
"170",1990,7,"DREI",0.36,5.49,3.9,6.51,29.29,7.04,32.16,21.4,1
"171",1990,7,"G6",26.29,1.03,13,0.61,50,2.16,29.52,18,4
"172",1990,7,"GROO",84.21,5.49,2.9,88.29,131.43,14.01,22.19,16.2,115
"173",1990,7,"HAMM",6.57,1.55,4.3,2.06,27.14,2.62,32.54,18.7,4
"174",1990,7,"HANS",186.14,8.36,13.9,19.26,227.86,11.95,20.99,19.2,31
"175",1990,7,"HUIB",11.07,1.32,21.3,6.09,40,2.87,31.53,17.3,9
"176",1990,7,"LODS",0.71,1.65,4.3,1.82,23.57,2.78,32.49,19.2,3
"177",1990,7,"MARS",14.5,1,8.6,9.83,50.71,2.91,29.58,17.9,9
"178",1990,7,"N02",21.43,1.39,5.1,1.17,44.29,2.49,30.58,17.5,9
"180",1990,7,"N20",7.5,0.36,6.9,0.75,28.57,1.36,32.5,17.5,2
"181",1990,7,"N70",0.79,0.06,1.2,2.17,10,0.39,34.84,16.3,2
"183",1990,7,"SOEL",0.71,15.89,5.8,42.36,50,18.95,22.43,20.7,2
"184",1990,7,"T004",3.29,0.19,9,0.64,20.71,1.07,33.34,16.8,2
"186",1990,7,"T100",0.5,0.19,1.2,0.96,9.29,0.48,34.78,15.3,2
"187",1990,7,"T135",0.57,0.13,0.5,0.64,11.43,0.45,34.79,14.6,1
"188",1990,7,"T175",0.5,0.16,0.3,1,6.43,0.39,34.9,14.2,1
"189",1990,7,"T235",0.5,0.16,0.6,0.68,7.86,0.42,34.92,14.4,1
"190",1990,7,"VLIS",24.21,1.94,11.9,2.24,50,3.62,32.34,18.3,10
"191",1990,7,"W02",9.93,0.94,7.1,0.96,32.14,2.2,33.24,18,10
"193",1990,7,"W70",0.57,0.1,1.1,1.14,8.57,0.39,35.28,15.7,2
"194",1990,7,"WISS",10.21,1.16,4.9,1.92,67.86,2.39,32.99,18.7,3
"195",1990,7,"ZIJP",0.93,1.42,15.6,1.89,30,3,30.74,18.4,4
"196",1990,8,"DANT",1,2.71,7.85,3.7,25.71,5.17,33.76,21,15
"197",1990,8,"DREI",3,6.94,1.7,3.67,30.71,8.62,32.56,18.9,2
"198",1990,8,"G6",10,1.13,10.8,6.27,42.86,5.49,31.8,18.1,83
"199",1990,8,"GROO",60.57,6.49,3,97.9,104.29,13.5,25.13,20.1,83
"200",1990,8,"HAMM",4,1.84,2.5,7.44,27.86,3.68,32.53,20.8,8
"201",1990,8,"HANS",131,7.85,11.4,13.03,170,10.98,24.54,21.3,32
"202",1990,8,"HUIB",1.86,1.32,5.6,2.17,25,2.97,32.3,20,7
"203",1990,8,"LODS",2.07,2.81,2.7,7.65,29.29,4.1,32.91,21.4,4
"204",1990,8,"MARS",2.79,1.49,12.1,3.63,25,3.33,32.03,20.4,10
"205",1990,8,"N02",22,1.97,5.5,5.84,37.14,3.16,29.7,18.2,9
"207",1990,8,"N20",7,0.94,5.3,2.21,18.57,1.61,32.17,18.3,2
"208",1990,8,"N70",0.64,0.16,1.9,2.21,1.43,0.55,35.15,17.7,3
"210",1990,8,"SOEL",7,19.99,2.5,107.16,51.43,22.8,23.64,18.7,2
"211",1990,8,"T004",2.57,0.97,3,3.13,10,1.29,33.07,17.9,5
"212",1990,8,"T010",1.86,0.65,2,2.21,7.86,0.9,33.73,18.2,3
"214",1990,8,"T135",1.21,0.42,1.3,3.45,3.57,0.55,34.74,16,3
"215",1990,8,"T175",1.14,0.32,1,1.82,1.43,0.48,34.94,15.3,8
"216",1990,8,"T235",1.29,0.39,0.9,1.39,5,0.48,34.78,15.7,2
"217",1990,8,"VLIS",11.57,1.49,9.2,4.7,42.86,3.29,32,20.4,14
"218",1990,8,"W02",5,0.94,7.4,5.3,21.43,3.16,33.28,19,31
"219",1990,8,"W20",1.29,0.48,5.3,2.85,8.57,1.29,34.2,19.2,3
"220",1990,8,"W70",1.36,0.16,2.5,2.49,1.43,0.65,35.15,17.8,37
"221",1990,8,"WISS",3.5,1.32,3.2,5.45,25,2.32,32.66,20.6,4
"222",1990,8,"ZIJP",0.43,2.97,7.3,2.53,29.29,4.68,31.55,21,4
"223",1990,8,"ZUID",2.71,3.84,15.5,15.2,33.57,6.07,33.29,19.9,12
"224",1990,9,"DANT",4.29,2.03,13,9.58,31.43,4.49,32.53,15.1,29
"225",1990,9,"DREI",3.21,7.68,4.2,4.41,29.29,9.2,32.65,16.9,2
"227",1990,9,"GROO",95.64,6.04,24.4,81.13,175.71,20.28,21.69,14.3,245
"228",1990,9,"HAMM",7.36,2.55,2.1,6.23,27.14,3.55,32.74,18.1,4
"229",1990,9,"HANS",134.21,9.04,4.5,13.78,165,11.46,23.1,18.1,24
"230",1990,9,"HUIB",14.64,1.68,5.8,3.84,31.43,2.42,32.6,15.6,12
"231",1990,9,"LODS",7.86,3.29,2.8,3.99,28.57,4.33,32.83,17.5,2
"232",1990,9,"MARS",5.64,1.03,17,2.24,35,3.16,29.43,16.5,33
"238",1990,9,"SOEL",2.57,19.08,6.2,93.98,45.71,20.83,23.95,16.6,2
"245",1990,9,"VLIS",18.29,2.52,4.1,14.6,37.86,4.2,32.69,17.9,36
"249",1990,9,"WISS",7,1.97,1.9,5.55,22.14,3,33.15,17.9,9
"250",1990,9,"ZIJP",8.43,3.52,3.2,5.73,30.71,4.65,31.32,17.6,3
"251",1990,9,"ZUID",5.29,1.29,44.3,4.41,42.86,4.68,32.35,15,20
"252",1990,10,"DANT",23.5,1.19,11.8,10.11,60.71,5.78,32.53,13.8,65
"253",1990,10,"DREI",8,6.94,2.1,10.43,29.29,7.91,32.5,13.9,3
"254",1990,10,"G6",26,1.78,1,7.16,37.86,2.62,32.55,13.7,10
"255",1990,10,"GROO",118.57,5.07,5,92.2,159.29,10.66,21.69,14.8,58
"256",1990,10,"HAMM",14.86,1.68,1.47,6.62,31.43,2.45,33.58,14.6,6
"257",1990,10,"HANS",139.29,8.46,3.68,26.56,177.14,14.11,22.78,14.4,104
"258",1990,10,"HUIB",19.36,0.71,3.9,7.62,39.29,2.52,32.6,13.6,10
"259",1990,10,"LODS",21.21,2.62,1.95,6.69,37.86,3.62,32.6,14,4
"260",1990,10,"MARS",29.71,1.42,4.64,6.34,50.71,3.26,29.43,13.8,22
"261",1990,10,"N02",31.29,1.97,0.9,7.44,46.43,3.78,31.96,13.2,21
"263",1990,10,"N20",12.79,1.03,2,3.95,23.57,1.55,33.85,13.8,4
"264",1990,10,"N70",1.07,0.26,1.4,1.32,9.29,0.77,35.29,14.6,2
"266",1990,10,"SOEL",9.29,17.5,4.9,125.67,53.57,19.6,24.13,14.3,5
"267",1990,10,"T004",20.21,0.97,3.7,2.88,35,1.84,32.17,11,10
"268",1990,10,"T010",14.5,0.81,6.1,1.64,25,1.58,33.39,13.2,4
"269",1990,10,"T100",2.07,0.32,0.8,3.45,7.86,0.74,34.93,13.6,3
"270",1990,10,"T135",2.07,0.45,0.9,2.56,7.14,1.16,34.93,13.2,3
"271",1990,10,"T175",2,0.29,0.9,2.49,7.14,0.58,34.83,12.7,2
"272",1990,10,"T235",1.79,0.19,2.2,1.6,7.14,0.52,34.7,12.2,3
"273",1990,10,"VLIS",33.07,2.81,1.4,14.31,66.43,7.46,32.09,14.4,113
"274",1990,10,"W02",18.64,1.68,1.6,7.37,38.57,4.33,33.8,13,93
"275",1990,10,"W20",14.5,1.32,2.2,7.26,27.14,2.55,34.36,13.8,17
"276",1990,10,"W70",5.57,0.55,1.8,3.03,10.71,0.97,35.31,15.3,7
"277",1990,10,"WISS",15.43,1.68,1.34,8.26,28.57,2.84,33.6,14.3,17
"278",1990,10,"ZIJP",22.64,3.04,0.84,11.57,40.71,4.1,30.6,14.2,10
"279",1990,10,"ZUID",33.21,1.94,9.85,18.83,70.71,5.68,32.35,14.2,57
"281",1990,11,"DREI",14.93,6.43,1.3,11.04,38.57,7.52,32.12,9.1,2
"282",1990,11,"G6",21.07,1.29,1.4,8.83,32.86,2.42,33.75,10.3,25
"283",1990,11,"GROO",160.14,4.26,7.5,111.07,235,13.17,16.98,7.6,110
"284",1990,11,"HAMM",25.71,2.26,1,12.25,41.43,3.36,33.01,10.9,10
"285",1990,11,"HANS",163.21,9.46,2.98,45.92,202.86,18.28,21.95,10.9,112
"286",1990,11,"HUIB",30.93,1.49,16.1,11.04,46.43,2.07,31.31,8.4,10
"287",1990,11,"LODS",28.43,2.42,0.9,8.54,50.71,3.58,32.35,9.2,8
"288",1990,11,"MARS",26.07,1.36,5.8,5.7,46.43,3.26,30.81,9.6,28
"289",1990,11,"N02",87.64,4.39,0.8,27.63,100,5.07,27.03,9.6,9
"291",1990,11,"N20",26.07,1.68,1.3,7.9,36.43,2.07,33.14,10.7,4
"292",1990,11,"N70",4.36,0.42,1.4,2.14,12.14,0.87,35.29,12.1,5
"294",1990,11,"SOEL",14.93,14.95,16.5,144.18,65.71,18.18,23.7,9.5,5
"295",1990,11,"T004",20.36,1.32,2.2,6.05,37.86,2.62,33.05,10,22
"296",1990,11,"T010",9.93,0.94,2.4,2.99,20,1.42,34.4,10.9,4
"297",1990,11,"T100",3.21,0.42,0.7,4.31,9.29,0.71,34.65,11.5,2
"298",1990,11,"T135",3.5,0.48,0.8,3.67,7.86,0.61,34.46,11,2
"299",1990,11,"T175",2.29,0.42,0.9,3.31,7.14,0.61,34.7,11.2,3
"300",1990,11,"T235",2,0.45,1.5,2.28,6.43,0.52,34.8,10.2,2
"301",1990,11,"VLIS",38.93,2.74,5.1,14.85,68.57,7.91,32.71,11.2,92
"302",1990,11,"W02",23.71,1.74,1.7,11.85,43.57,3.91,34.04,9.7,59
"303",1990,11,"W20",16.93,1.39,1.3,9.51,26.43,2.23,34.47,10.3,33
"304",1990,11,"W70",5.43,0.48,1.5,2.99,10.71,0.71,35.28,12.8,4
"305",1990,11,"WISS",24.5,2.07,1.2,11.57,33.57,28.41,33.27,10.9,6
"306",1990,11,"ZIJP",33.5,3.29,0.9,16.59,48.57,3.62,30.97,10.1,4
"307",1990,11,"ZUID",49,2.16,13,25.28,82.14,4.78,28.63,9.1,31
"308",1990,12,"DANT",31.21,1.07,60.5,13.81,87.86,2.2,31.5,4.2,107
"309",1990,12,"DREI",24.36,5.33,0.6,13.6,47.86,6.23,31.72,4.3,5
"310",1990,12,"G6",56.64,2.03,1.1,20.72,72.14,3.75,30.5,6.3,27
"311",1990,12,"GROO",440.93,3.04,2,142.4,518.57,4.81,9.8,2,101
"312",1990,12,"HAMM",33.07,2.1,0.7,17.8,46.43,3.16,32.96,7.5,11
"313",1990,12,"HANS",216.71,9.69,2.3,69.42,266.43,15.92,21.69,6,49
"314",1990,12,"HUIB",92.71,1.87,2.2,35.96,120,3.2,28.16,4.2,29
"315",1990,12,"LODS",38.93,2.2,0.7,16.45,51.43,3.23,32.48,6.7,6
"317",1990,12,"N02",44.93,2.1,0.8,15.2,56.43,3.13,31.73,6.1,17
"319",1990,12,"N20",38.21,1.68,0.7,12.6,46.43,2.23,32.2,6.3,4
"320",1990,12,"N70",4.07,0.45,0.8,2.67,10,0.74,35.41,8.5,4
"322",1990,12,"SOEL",38.29,14.27,15,178.36,80.71,16.14,23.47,4.3,5
"323",1990,12,"T004",27.07,1.19,1.2,8.51,40.71,2.39,33.15,6.1,22
"324",1990,12,"T010",19.86,1.03,0.8,6.23,30,1.49,33.8,7.2,11
"325",1990,12,"T100",3.86,0.52,0.4,5.23,7.14,0.77,34.8,9.2,5
"326",1990,12,"T135",4.29,0.48,0.4,5.48,8.57,0.81,34.65,9.3,5
"328",1990,12,"T235",2.79,0.19,0.5,1.67,4.29,0.42,34.8,8,2
"329",1990,12,"VLIS",53.93,2.74,1.6,20.61,79.29,7.14,32.05,6.7,76
"330",1990,12,"W02",38.64,1.42,1.3,17.69,52.14,3.1,32.29,6.5,28
"331",1990,12,"W20",22.14,0.97,0.9,11.25,30,1.52,33.77,7.6,8
"332",1990,12,"W70",6.36,0.45,0.8,5.02,10.71,0.68,35.4,9.7,6
"333",1990,12,"WISS",31.43,1.84,0.9,16.63,44.29,3.1,33.2,7.9,18
"334",1990,12,"ZIJP",44.5,2.55,0.4,24.03,57.14,3.23,31.07,7.1,4
"337",1991,1,"DREI",36.79,4.36,0.56,19.62,59.57,5,30.91,5.4,2
"338",1991,1,"G6",56.71,1.52,3.38,22.32,96.79,6.91,30.73,5.5,202
"340",1991,1,"HAMM",49.64,1.74,0.78,22.5,60.36,2.65,31.9,5.3,13
"341",1991,1,"HANS",358.93,9.98,1.44,123.18,377.86,14.72,15.82,5.5,47
"343",1991,1,"LODS",52.64,1.68,0.86,19.62,66.36,2.58,31.38,4.9,9
"345",1991,1,"N02",48.79,1.49,1.62,19.37,63.14,2.74,31.95,5,49
"347",1991,1,"N20",32.43,1.19,0.96,13.35,41.43,1.78,33.18,5.5,25
"348",1991,1,"N70",10.43,0.65,1.88,3.77,14.57,2.16,35.19,6.6,18
"350",1991,1,"SOEL",92.71,13.04,3.82,179.42,135.86,14.5,21.89,5.3,4
"351",1991,1,"T004",33.43,1.03,1.16,12.85,47.5,2,32.98,5.6,35
"352",1991,1,"T010",23.36,0.97,2.18,9.4,29.86,1.42,33.9,6.1,27
"353",1991,1,"T100",9.79,0.68,0.68,4.66,10.79,1,34.86,6.1,17
"355",1991,1,"T175",5.93,0.65,0.64,3.92,11.21,0.9,34.66,6.1,24
"356",1991,1,"T235",5.54,0.52,2.76,3.56,11.79,0.9,34.91,6.5,9
"357",1991,1,"VLIS",85.29,2.97,1.76,35.96,110.64,7.23,30.72,5.6,281
"358",1991,1,"W02",45.79,1.65,2.76,16.23,62.86,3.78,33.04,4.8,67
"359",1991,1,"W20",14,0.84,2.44,6.3,20,1.65,34.92,6.7,36
"360",1991,1,"W70",6,0.45,3.08,3.99,10.5,0.9,35.52,8.5,24
"361",1991,1,"WISS",48.79,1.78,1.16,21.08,63.86,3.55,31.63,5.4,35
"362",1991,1,"ZIJP",64.07,2.13,0.54,29.3,75.57,2.87,30.43,4.9,11
"365",1991,2,"DREI",36.79,3.49,1.22,15.02,56.64,4.91,30.86,1.5,3
"366",1991,2,"G6",53.57,1.68,1.82,19.44,69.14,6.1,31.24,4.2,102
"368",1991,2,"HAMM",55.07,1.61,0.84,22.14,67.07,2.62,31.49,2,14
"369",1991,2,"HANS",416.5,6.65,1.38,119.26,450.64,12.72,15.24,2.4,70
"376",1991,2,"N70",8.79,0.55,1.18,3.49,9.64,1.03,35.48,6.1,14
"379",1991,2,"T004",43.07,1.03,1.78,13.99,48.86,1.94,31.91,3.2,18
"380",1991,2,"T010",37.57,0.97,1.18,12.39,40.43,1.49,32.5,3.9,9
"381",1991,2,"T100",6.07,0.48,0.34,3.56,7.14,1.03,34.53,5.2,14
"382",1991,2,"T135",5.07,0.42,0.46,3.6,6.21,0.69,34.67,5.4,3
"383",1991,2,"T175",5.86,0.52,0.54,4.17,6.93,0.87,34.68,5.3,2
"385",1991,2,"VLIS",102,2.58,0.5,32.79,125.43,5.81,30.07,3.3,62
"389",1991,2,"WISS",49,1.45,1.24,19.79,57,2.84,31.59,2.6,27
"392",1991,3,"DANT",47.29,0.36,0.82,3.84,76,2.62,30.55,8.7,59
"393",1991,3,"DREI",3.96,0.16,30.8,2.85,33.07,3.07,30.63,4.5,6
"394",1991,3,"G6",48.93,1.49,5.34,10.79,58.14,2.65,31.8,5.3,29
"396",1991,3,"HAMM",47.79,0.87,0.84,10.86,61.86,2.16,31.72,3.6,8
"397",1991,3,"HANS",422.64,6.91,2.1,124.24,439.07,14.3,14.86,4.4,79
"398",1991,3,"HUIB",84.64,1.32,3.08,28.62,97.86,2.1,29.74,4.2,8
"399",1991,3,"LODS",33.25,0.16,1.16,1.46,58.07,1.68,31.33,3.5,10
"401",1991,3,"N02",107.07,2.97,2.08,25.56,118.93,4.13,26.75,6.2,5
"402",1991,3,"N10",62.0933333333333,1.59333333333333,4.53333333333333,11.2266666666667,69.55,2.68,30.92,6.03333333333333,6
"403",1991,3,"N20",26.36,0.74,1.88,3.67,30.57,1.39,33.81,5,3
"404",1991,3,"N70",5.25,0.23,1.7,0.68,6.57,0.74,35.53,6.2,2
"407",1991,3,"T004",39.14,0.9,6.16,7.76,43.71,1.49,32.34,5.3,7
"408",1991,3,"T010",27,0.77,3.48,6.16,32.07,1.42,33.53,5.2,4
"409",1991,3,"T100",6.75,0.42,0.64,4.24,10.93,1,34.61,4.9,2
"410",1991,3,"T135",7.11,0.55,1.1,4.59,8.43,1.11,34.6,4.9,2
"411",1991,3,"T175",6.32,0.42,0.98,4.63,7.64,0.94,34.59,4.9,10
"412",1991,3,"T235",5.64,0.42,1.34,2.81,8.29,0.87,34.69,4.7,2
"413",1991,3,"VLIS",108.71,2.39,4.64,31.47,132,6.75,29.65,3.8,98
"414",1991,3,"W02",52.71,1.39,4.3,13.21,62.79,2.68,32.49,5.4,27
