ID,Genus,Species,Body.Temperature..C.,Body.Mass..g.,Basal.Metabolic.Rate..W.,Air.temperature..C.
40,Tarsipes,rostratus,36.6,10,0.162,13.61232699
41,Sicista,betulina,37,10,0.179,-0.555294765
42,Crocidura,crossei,34.3,10.2,0.125,22.63857353
43,Blarina,carolinensis,36.8,10.2,0.188,16.54541156
44,Plecotus,auritus,35.5,10.25,0.082,4.36466367
45,Eptesicus,fuscus,36,10.4,0.116,10.77270536
46,Crocidura,russula,34.7,10.4,0.128,9.134230046
47,Miniopterus,schreibersii,37.7,10.91,0.145,18.53426411
48,Microdipodops,megacephalus,32.8,11,0.168,7.185151347
49,Histiotus,velatus,30.5,11.2,0.088,20.97069256
50,Anoura,caudifera,36.5,11.5,0.238,22.39107439
51,Ningaui,yvonnae,34.4,11.6,0.088,17.65175292
52,Macrotus,californicus,35,11.7,0.082,15.35950226
53,Crocidura,leucodon,*,11.7,0.166,7.6258043
54,Crocidura,luna,34.8,11.8,0.138,20.75432833
55,Neurotrichus,gibbsii,38.4,11.8,0.259,6.674957851
56,Myotis,velifer,*,11.89,0.04,18.00402449
57,Peromyscus,polionotus,37.2,12,0.12,17.18566669
58,Scotinomys,teguina,37.6,12,0.174,21.48681684
59,Pseudomys,hermannsburgensis,37.8,12.2,0.13,21.33638748
60,Microgale,cowani,33,12.2,0.179,18.89674151
61,Megaloglossus,woermanni,*,12.4,0.121,23.23892706
62,Gerbillus,pusillus,34.6,12.6,0.075,23.14226668
63,Cercartetus,lepidus,33.7,12.6,0.105,10.48972022
64,Gracilinanus,microtarsus,35,13,0.106,16.8113946
65,Planigale,maculata,34.5,13.1,0.074,20.38703811
66,Neomys,anomalus,*,13.1,0.373,8.168961989
67,Mus,musculus,36.7,13.2,0.365,*
68,Nyctimene,major,33,13.6,0.114,6.864083231
69,Nyctinomops,laticaudatus,*,14,0.062,22.36822173
70,Acrobates,pygmaeus,34.7,14,0.084,17.17255491
71,Pteronotus,personatus,37.5,14,0.128,22.13667633
72,Crocidura,viaria,34.5,14.7,0.123,25.398803
73,Carollia,perspicillata,36.4,14.9,0.24,22.74612569
74,Chaetodipus,formosus,*,15.1,0.103,11.44340786
75,Microdipodops,pallidus,39.3,15.2,0.11,8.774976595
76,Scotinomys,xerampelinus,36.2,15.2,0.178,25.53234611
77,Molossus,molossus,31.4,15.6,0.126,21.4263006
78,Macroglossus,minimus,36.2,15.9,0.103,17.74099969
79,Chaetodipus,intermedius,36,15.9,0.106,15.94113439
80,Syconycteris,australis,35.9,15.9,0.122,16.07124348
81,Peromyscus,crinitus,35.7,15.9,0.14,9.503245255
82,Chaetodipus,penicillatus,*,16,0.125,17.00252435
83,Calomys,lepidus,*,16,0.161,6.667006054
84,Erophylla,sezekorni,39.3,16.1,0.099,12.19379515
85,Erophylla,bombifrons,32,16.1,0.208011111,*
86,Uroderma,bilobatum,35.1,16.2,0.176,22.76491568
87,Sminthopsis,crassicaudata,35.2,16.4,0.14,18.9126931
88,Mormoops,megalophylla,36.9,16.5,0.136,18.74596328
89,Tadarida,brasiliensis,36,16.9,0.113,15.71066025
90,Calomys,musculinus,36.2,16.9,0.154,14.45941925
91,Neomys,fodiens,37.3,17.1,0.305,1.682375817
92,Crocidura,poensis,35.5,17.3,0.173,22.61685621
93,Chalinolobus,gouldii,35.5,17.5,0.141,19.61495758
94,Eligmodontia,typus,36.4,17.5,0.167,10.92195092
95,Microtus,subterraneus,*,17.8,0.276,6.372983106
96,Myodes,californicus,37.5,18.3,0.341,*
97,Cercartetus,concinnus,34.4,18.6,0.125,14.14799624
98,Sminthopsis,murina,35,19,0.12,15.90719694
99,Onychomys,torridus,*,19.1,0.165,14.2188657
100,Perognathus,parvus,*,19.2,0.16,7.138163296
101,Pteronotus,parnellii,36.4,19.2,0.171,22.46285825
102,Sminthopsis,macroura,36.4,19.35,0.126,21.72326242
103,Ochrotomys,nuttalli,36.4,19.5,0.151,15.83109865
104,Chaetodipus,fallax,32.6,19.6,0.15,11.79914001
105,Artibeus,concolor,35.3,19.7,0.222,24.51141693
106,Chiroderma,doriae,*,19.9,0.173,19.21381582
107,Eremitalpa,granti,33.6,20,0.056,*
108,Peromyscus,leucopus,36.7,20,0.185,12.57143823
109,Microtus,arvalis,37,20,0.346,6.387391497
110,Petromyscus,collinus,*,20.41,0.115,16.47359977
111,Sturnira,tildae,*,20.5,0.223,23.38521135
112,Apodemus,witherbyi,37,20.5,0.279,*
113,Blarina,brevicauda,38.3,20.5,0.336,6.728295783
114,Apodemus,agrarius,*,21.2,0.373,4.706281638
115,Peromyscus,eremicus,36.6,21.5,0.185,15.84198291
116,Peromyscus,gossypinus,37.5,21.5,0.206,16.7712163
117,Phenacomys,intermedius,37.9,21.5,0.375,4.088726243
118,Malacothrix,typica,37,21.7,0.115,18.28360577
119,Arborimus,longicaudus,37.3,21.8,0.329,7.006140426
120,Mus,spretus,*,21.8,0.345,13.37395024
121,Platyrrhinus,lineatus,36.4,21.9,0.25,20.53425516
122,Sturnira,lilium,36.4,21.9,0.297,22.20299629
123,Antrozous,pallidus,*,22,0.104,12.75978881
124,Chaetodipus,californicus,38,22,0.119,10.66317393
125,Napaeozapus,insignis,37,22,0.221,3.697961445
126,Leptonycteris,curasoae,35.7,22,0.245,18.11572055
127,Peromyscus,maniculatus,37.2,23.19,0.257,5.957827271
128,Peromyscus,boylii,36.4,23.2,0.303,11.27459715
129,Muscardinus,avellanarius,35.8,23.5,0.351,7.288206046
130,Paranyctimene,raptor,33.8,23.6,0.137,18.44491011
131,Zapus,hudsonius,37.3,23.8,0.199,2.401949122
132,Apodemus,flavicollis,36.7,23.9,0.242,5.732837067
133,Apodemus,sylvaticus,36.7,23.9,0.242,8.055505661
134,Akodon,azarae,37.7,24,0.228,17.61588556
135,Abrothrix,lanosus,*,24,0.254,*
136,Myodes,glareolus,*,24.6,0.32,*
137,Myotis,vivesi,*,25,0.199,13.26253289
138,Microtus,pinetorum,38.3,25.5,0.326,13.17416419
139,Phodopus,sungorus,36.1,25.7,0.228,1.161453695
140,Antechinomys,laniger,35.8,25.8,0.141,*
141,Myopus,schisticolor,39,26.4,0.522,-7.118626386
142,Noctilio,albiventris,33.8,27,0.176,23.15907167
143,Abrothrix,olivaceus,37.2,27,0.276,*
144,Myodes,rufocanus,*,27,0.3201,*
145,Acomys,spinosissimus,*,27.02,0.246,21.14743561
146,Tonatia,bidens,37,27.4,0.307,22.73083204
147,Gerbillus,dasyurus,38.6,27.6,0.163,20.84951775
148,Diphylla,ecaudata,32.4,27.8,0.215,22.61166651
149,Microtus,agrestis,37.6,28,0.355,0.429755076
150,Myodes,rutilus,*,28,0.43,*
151,Antechinus,stuartii,35.1,28.2,0.189,13.03579348
152,Oligoryzomys,longicaudatus,37.3,28.2,0.285,6.12884259
153,Peromyscus,keeni,36.2,28.3,0.261,*
154,Gerbillus,nanus,38.8,28.4,0.124,21.80880008
155,Microtus,longicaudis,38,28.6,0.377,2.126826931
156,Microtus,mexicanus,37.9,28.8,0.262,16.9497443
157,Chaetodipus,baileyi,32.5,29.1,0.192,16.73363992
158,Desmodus,rotundus,37.3,29.4,0.194,20.66017395
159,Gerbillus,gerbillus,37.2,29.7,0.237,22.72550969
160,Gerbillurus,tytonis,36.9,29.9,0.177,9.930275284
161,Suncus,murinus,36,30.2,0.332,21.25271449
162,Lemmiscus,curtatus,37.1,30.3,0.281,5.552889057
163,Cricetulus,migratorius,38.1,30.7,0.245,6.272272885
164,Podomys,floridanus,*,30.8,0.288,17.85670658
165,Nyctimene,albiventer,35.9,30.9,0.152,15.45531893
166,Akodon,albiventer,*,31,0.259,3.138750355
167,Heterocephalus,glaber,32.1,32,0.114,22.79267214
168,Acomys,subspinosus,*,32.25,0.465,13.09067818
169,Notomys,alexis,38,32.3,0.252,21.09235864
170,Chionomys,nivalis,*,32.8,0.452,6.98624799
171,Crocidura,flavescens,*,33.2,0.248,13.49228061
172,Peromyscus,truei,36.7,33.3,0.349,11.60665231
173,Phyllostomus,discolor,34.6,33.5,0.267,23.32033816
174,Microtus,oeconomus,38.4,33.7,0.563,-5.357974351
175,Gerbillurus,paeba,38.7,33.9,0.194,18.43954724
176,Notoryctes,caurinus,30.8,34,0.119,24.41800272
177,Notomys,cervinus,38.5,34.2,0.233,20.08002197
178,Abrothrix,andinus,37.7,34.6,0.361,*
179,Microtus,montanus,35.3,35.1,0.465,5.95980513
180,Gerbillus,andersoni,36.3,35.3,0.217,15.9606996
181,Phyllostomus,elongatus,*,35.6,0.216,23.53814825
182,Dipodomys,merriami,37,36.5,0.237,16.21515899
183,Diaemus,youngi,31.1,36.6,0.208,22.94185009
184,Cynopterus,brachyotis,36.5,37.4,0.265,18.98062445
185,Steatomys,pratensis,34.1,37.54,0.105,22.33778807
186,Alticola,argentatus,*,37.7,0.675,0.818590569
187,Dipodomys,nitratoides,*,37.8,0.257,14.30468817
188,Graphiurus,murinus,*,38.43,0.225,21.2175507
189,Gerbillurus,vallinus,37.4,38.8,0.194,17.98049512
190,Crocidura,olivieri,35.3,38.9,0.326,23.40156235
191,Microtus,pennsylvanicus,38.5,38.9,0.419,0.060434984
192,Macroscelides,proboscideus,36.2,39,0.292,15.17136113
193,Tamias,alpinus,*,39,0.322,3.830084921
194,Chaetodipus,hispidus,36.8,39.5,0.276,14.80094963
195,Rhabdomys,pumilio,37,39.6,0.179,18.78662932
196,Mesocricetus,brandti,36.2,40.2,0.413866667,8.643914498
197,Lasiopodomys,brandtii,*,40.2,0.428,-1.778990897
198,Apodemus,mystacinus,35.5,40.4,0.312,9.034231087
199,Nyctimene,cyclotis,36,40.4,0.36,17.83107685
200,Mastomys,natalensis,38,41.49,0.183,20.25764302
201,Acomys,cahirinus,37.5,42,0.258,23.28152161
202,Abrothrix,longipilis,37.4,42.3,0.321,*
203,Pseudantechinus,macdonnellensis,34.2,43.1,0.152,23.15220645
204,Liomys,salvani,37,43.8,0.262,18.87374537
205,Microtus,guentheri,38.3,43.8,0.447,10.26478956
206,Microgale,talazaci,31.2,44,0.243,18.90024657
207,Chrysochloris,asiatica,34,44,0.287,14.70320501
208,Microtus,californicus,38.8,44,0.38,10.09199544
209,Burramys,parvus,36.1,44.3,0.205,9.874778651
210,Microgale,dobsoni,30.9,44.6,0.315,18.93186755
211,Artibeus,jamaicensis,36.4,45.2,0.428,22.36650092
212,Elephantulus,brachyrhynchus,37.5,45.3,0.244,21.29356686
213,Elephantulus,rozeti,37.1,45.31,0.267,15.64215634
214,Tamias,minimus,37,45.8,0.406,0.730347839
215,Gerbillurus,setzeri,37.6,46.1,0.206,11.1823357
216,Elephantulus,intufi,37.2,46.49,0.29,19.12448341
217,Antechinus,flavipes,35,46.5,0.252,15.51427406
218,Microtus,ochrogaster,37.9,46.7,0.441,8.252154624
219,Dipodomys,ordii,34.6,46.8,0.358,11.14188996
220,Lemniscomys,griselda,36.9,47.5,0.321,21.10225451
221,Peromyscus,californicus,36.4,47.6,0.292,10.80556207
222,Scalopus,aquaticus,36,48,0.378,13.6494518
223,Liomys,irroratus,37,48.1,0.301,18.12422523
224,Condylura,cristata,37.7,49,0.615,3.427820631
225,Elephantulus,edwardii,37.6,50,0.304,14.24010309
226,Calomys,callosus,*,50.1,0.395,21.65422481
227,Calomys,venustus,37.1,50.1,0.40255,*
228,Lemmus,sibiricus,38.3,50.2,0.503,-9.431598297
229,Lemniscomys,rosalia,36.5,50.53,0.343,20.58852628
230,Eonycteris,spelaea,34,51.6,0.268,18.35540816
231,Microtus,townsendii,*,52.2,0.504,6.229174564
232,Gerbillus,perpallidus,*,52.4,0.243,17.46965251
233,Elephantulus,rufescens,37.3,53,0.317,23.04271531
234,Microtus,breweri,37.3,53.1,0.412,*
235,Melonycteris,melanops,34.9,53.3,0.242,8.055213248
236,Phyllotis,xanthopygus,37.3,55,0.316,8.177045279
237,Acomys,russatus,37.3,55.55,0.239,19.4956925
238,Eumops,perotis,32.6,56,0.222,20.98653782
239,Golunda,ellioti,*,56.2,0.339,23.11238296
240,Sekeetamys,calurus,37.5,56.9,0.248,19.6958996
241,Tamias,amoenus,37,57.1,0.537,4.878375608
242,Dipodomys,microps,35,57.2,0.373,8.812169253
243,Ptilocerus,lowii,36.5,57.5,0.24,20.27631242
244,Hylomys,suillus,37.3,57.8,0.335,20.29504855
245,Phyllotis,darwini,36.2,59,0.398,7.107522867
246,Dicrostonyx,groenlandicus,38.4,59.62,0.551,-10.96056626
247,Cryptomys,darlingi,33.3,60,0.316866667,*
248,Funisciurus,isabella,*,60,0.57,22.98876915
249,Dipodomys,agilis,37,60.6,0.355,11.94647564
250,Noctilio,leporinus,34.5,61,0.4,22.13714043
251,Scapanus,latimanus,*,61,0.425,9.817095422
252,Scapanus,orarius,*,61.2,0.358,6.893815943
253,Saccostomus,campestris,35.3,61.3,0.287,20.27814793
254,Chelemys,macronyx,36.8,62,0.454283333,5.295155971
255,Loxodontomys,micropus,37.4,62.3,0.546,*
256,Phyllotis,magister,*,62.8,0.385,6.092792743
257,Elephantulus,myurus,36.9,62.97,0.37,19.18350161
258,Funisciurus,anerythrus,*,63,0.58,23.90368988
259,Dipodomys,heermanni,*,63.3,0.408,12.26135258
260,Galago,demidoff,*,63.8,0.329,*
261,Artibeus,fimbriatus,*,63.9,0.435,20.41363253
262,Micaelamys,namaquensis,36.8,64.2,0.317,*
263,Dipodomys,panamintinus,36.9,64.2,0.414,9.82923328
264,Glaucomys,volans,39,64.25,0.377,12.86876776
265,Euneomys,chinchilloides,*,65.4,0.471,3.94933316
266,Microtus,richardsoni,38.7,65.65,0.714,3.499110286
267,Peromyscus,megalops,*,66.2,0.506,19.20623635
268,Antechinus,swainsonii,36,66.9,0.351,11.53249675
269,Meriones,unguiculatus,38.2,67,0.43,0.337690427
270,Millardia,meltada,*,67.4,0.327,23.62127124
271,Graphiurus,ocularis,*,67.8,0.37,15.69034778
272,Microtus,xanthognathus,38,68.5,0.55,-6.728411045
273,Meriones,hurrianae,36.1,69,0.304,22.89227067
274,Heteromys,anomalus,36,69.3,0.561,20.17375967
275,Graomys,griseoflavus,36.1,69.4,0.469,17.35182542
276,Tamias,palmeri,*,69.4,0.631,14.22018069
277,Cercartetus,nanus,35.6,70,0.336,11.14886447
278,Amblysomus,hottentotus,*,70,0.473,14.79639083
279,Artibeus,lituratus,37.3,70.1,0.602,22.59738669
280,Tympanoctomys,barrerae,35.7,71.4,0.43,14.58699845
281,Desmodillus,auricularis,35.9,71.93,0.49,17.78118457
282,Dobsonia,minor,36.5,73.7,0.415,20.00625215
283,Cryptomys,hottentotus,34.4,75,0.377,19.15711533
284,Tamias,merriami,37,75,0.44,10.0984744
285,Jaculus,jaculus,37.5,75,0.515,23.26916864
286,Mustela,erminea,39.6,75,0.93,-2.669965093
287,Monodelphis,brevicaudata,33.7,75.5,0.318,24.38321088
288,Heteromys,desmarestianus,33.8,75.8,0.553,20.78784037
289,Rattus,fuscipes,37.5,76,0.471,12.65069627
290,Auliscomys,boliviensis,36.3,76.8,0.617,7.018472733
291,Limnogale,mergulus,*,77.7,0.312,17.89305071
292,Reithrodon,auritus,38,78.7,0.428,12.42279796
293,Cryptomys,amatus,35,79.5,0.299083333,*
294,Pseudomys,gracilicaudatus,36.8,79.8,0.467,16.08525931
295,Lemmus,lemmus,37.8,80,1.071,-1.424981853
296,Oxymycterus,roberti,38.3,83.5,0.508,20.35080627
297,Stochomys,longicaudatus,*,84.2,0.544,23.65528981
298,Phyllostomus,hastatus,34.7,84.2,0.559,22.97779042
299,Thomomys,umbrinus,34.6,85,0.403,15.96630719
300,Parotomys,brantsii,39.1,86.5,0.468,17.3922219
301,Tatera,indica,*,87,0.422,21.97885349
302,Tamias,striatus,38.2,87.4,0.502,8.020638598
303,Heliophobius,argenteocinereus,35.1,88,0.42,21.69528701
304,Rousettus,amplexicaudatus,36.5,91.5,0.582,16.4
305,Arvicola,amphibius,37.5,92,0.595,*
306,Mystromys,albicaudatus,33,93.78,0.707,14.50722244
307,Cryptomys,bocagei,33.7,94,0.388,20.72055727
308,Funisciurus,lemniscatus,*,95,0.5,23.24440593
309,Ammospermophilus,leucurus,37.5,95.7,0.524,9.661258694
310,Myotomys,unisulcatus,34.8,96,0.595,*
311,Chrotopterus,auritus,37.2,96.1,0.788,22.48406111
312,Mesocricetus,auratus,38.1,98,0.82,10.3888102
313,Dasycercus,cristicauda,36.9,101,0.285,22.61672526
314,Otomys,irroratus,37.6,102,0.474,15.40084051
315,Monodelphis,domestica,32.6,104,0.335,21.93709325
316,Dipodomys,deserti,36.8,106,0.514,15.04993401
317,Gerbilliscus,afra,34,106.5,1.016,*
318,Thomomys,talpoides,36.2,106.8,0.792,4.753105593
319,Gerbillus,pyramidum,36.1,108.5,0.454,23.16002438
320,Rattus,lutreolus,36.7,109,0.353,11.2754917
321,Ochotona,princeps,40.1,109,0.932,4.344202929
322,Neotoma,lepida,36.8,110,0.485,10.56166531
323,Megadontomys,thomasi,37.8,110.8,0.692,20.93687479
324,Meriones,tristrami,36.5,112,0.55,13.16367839
325,Aconaemys,fuscus,37.3,112,0.675,5.906127127
326,Funisciurus,congicus,39.3,112.3,0.533,22.92889244
327,Cynomys,ludovicanus,36.7,112.3,2.278,10.87813364
328,Tarsius,syrichta,33.8,113,0.43,12.5130214
329,Myotomys,sloggetti,38,113.29,0.746,*
330,Sigmodon,ochrognathus,*,115.1,0.86,16.02191997
331,Echinops,telfairi,*,116.4,0.75,19.3887694
332,Callithrix,pygmaea,*,116.8,0.6305,25.64772111
333,Rattus,rattus,*,117,0.77,*
334,Dasyuroides,byrnei,35.2,118.2,0.462,*
335,Octomys,mimax,36.7,118.6,0.642,5.982066078
336,Ctenomys,talarum,36.1,121,0.611,13.50031057
337,Marmosa,robinsoni,34,122,0.547,19.29686352
338,Tupaia,glis,37,123,0.522,18.28318773
339,Thallomys,nigricauda,*,124.7,0.382,20.38734838
340,Petaurus,breviceps,36.4,127,0.502,17.37844471
341,Ochotona,dauurica,*,127.7,1.389,-0.241584313
342,Spalax,ehrenbergi,36,128,0.614,*
343,Sigmodon,leucotis,*,128.6,1.04,15.57725946
344,Scapanus,townsendii,*,130.1,0.607,6.86510902
345,Thallomys,paedulcus,36.7,132.4,0.487,21.65446705
346,Hemicentetes,nigriceps,*,133,0.358,*
347,Spalacopus,cyanus,36.5,135,0.596,6.366698589
348,Sigmodon,alleni,*,137.8,1.134,17.65762083
349,Sigmodon,fulviventer,*,137.8,1.157,14.79531264
350,Isthmomys,pirrensis,37.6,137.9,0.677,21.59404115
351,Cryptomys,damarensis,35.2,138,0.439,21.06482896
352,Jaculus,orientalis,37,139,0.775,20.08810884
353,Sigmodon,hispidus,38.1,139.3,1.285,17.33733135
354,Thomomys,bottae,36,143,0.67,13.09388962
355,Rousettus,aegyptiacus,34.8,146,0.684,21.1
356,Macroderma,gigas,37,148,0.776,22.1729681
357,Octodontomys,gliroides,37.2,152,0.729,3.968182935
358,Phascogale,tapoatafa,37.4,157,0.71,17.25850497
359,Gerbilliscus,leucogaster,35.1,157.62,0.74,*
360,Dipus,sagitta,36.8,160,0.676,5.706411322
361,Rattus,colletti,*,165.7,0.686,19.56257206
362,Gymnobelideus,leadbeateri,*,166,0.574,11.67424668
363,Spermophilus,tereticaudus,36.3,167,0.522,16.90385329
364,Galago,moholi,*,170,0.285,21.0559038
365,Rattus,norvegicus,37.2,170,0.96,*
366,Galago,senegalensis,37.9,171.5,0.764,24.45181513
367,Geomys,pinetis,36.3,173,0.743,17.44265929
368,Tarsius,spectrum,*,173,0.831,9.41089828
369,Octodon,lunatus,*,173.2,0.957,8.410014542
370,Spermophilus,spilosoma,36.1,174,0.514,14.17462819
371,Octodon,bridgesi,*,176.1,1.023,7.446191637
372,Dobsonia,praedatrix,37.1,179.5,0.795,8.155388014
373,Neotoma,albigula,*,183,0.75,15.61851422
374,Rattus,sordidus,39,187,0.595,19.84289971
375,Neotoma,fuscipes,36.6,187,0.824,9.751915776
376,Callithrix,jacchus,*,190,0.848,23.21056148
377,Tachyoryctes,splendens,35.9,191,0.842,18.56024431
378,Octodon,degus,37.6,193,0.949,5.024247372
379,Pteropus,pumilus,36.1,194.2,0.705,13.8253054
380,Georychus,capensis,36.4,195,0.645,13.32575063
381,Geomys,bursarius,35,197,0.769,12.39335852
382,Glis,glis,37.7,200,0.881,*
383,Spalax,leucodon,36.3,201,0.83,*
384,Neotoma,cinerea,*,205.1,0.941,3.30287116
385,Spermophilus,tridecemlineatus,35.7,205.4,0.783,7.906669428
386,Arctocebus,calabarensis,*,206,0.731,22.93689986
387,Petrodromus,tetradactylus,37.5,206.1,1.001,21.82119061
388,Conilurus,penicillatus,*,213.2,0.908,20.53268528
389,Ctenomys,opimus,36,214,0.591161111,1.596028122
390,Ctenomys,maulinus,36.2,215,1.044,6.108278489
391,Paraxerus,cepapi,*,223.6,0.811,21.38986961
392,Saguinus,geoffroyi,*,225,1.305,18.2762008
393,Mustela,frenata,39,225,1.344,12.42595324
394,Tamiasciurus,hudsonicus,39.4,228.3,1.42,0.074351524
395,Spermophilus,townsendii,35.6,229,0.587,9.931739163
396,Heliosciurus,rufobrachium,*,230,0.744,23.47320093
397,Spermophilus,lateralis,36.3,237,0.8,5.663261068
398,Spermophilus,mohavensis,37,240,0.629,11.50022161
399,Cyclopes,didactylus,33,240,0.636,23.55573033
400,Spermophilus,citellus,37.5,240,1.272,8.450591271
401,Dobsonia,anderseni,36.4,241.4,0.971,*
402,Funisciurus,pyrropus,*,244,1.011,23.666571
403,Rattus,villosissimus,35.9,250.6,0.813,23.53352888
404,Spermophilus,satutatus,*,252.2,0.9,4.708911658
405,Pteropus,rodricensis,36.5,254.5,0.753,*
406,Microcavia,niata,*,255,0.98,3.340119377
407,Neofiber,alleni,37.1,258.1,1.209,18.00211856
408,Urogale,everetti,*,260.6,1.25,13.14025831
409,Euoticus,elegantulus,*,261.5,1.205,23.35620299
410,Cryptomys,mechowi,34,267,0.894,21.03293449
411,Spermophilus,richardsoni,35.5,274,0.734,3.4224003
412,Loris,tardigradus,35.5,284,0.714,22.32204128
413,Ctenomys,fulvus,36.2,300,1.054,-2.003812425
414,Cheirogaleus,medius,38,300,1.088,19.8295127
415,Spermophilus,beldingi,35.5,303,0.71,6.970621385
416,Spermophilus,armatus,35.7,320,0.889,3.072704265
417,Galea,musteloides,37.3,322,1.473,12.18660451
418,Thrichomys,apereoides,37.6,323,1.153,22.53669858
419,Caluromys,derbianus,35,329,1.255,19.26391253
420,Metachirus,nudicaudatus,35,336,1.144,23.71569777
421,Ctenomys,australis,37.3,340,0.65,11.04451146
422,Cannomys,badius,36,344,0.96,20.81224351
423,Cricetus,cricetus,39.5,362,1.293,3.534589569
424,Pteropus,scapulatus,37,362,1.353,20.5128658
425,Paraxerus,palliatus,39.3,366.6,1.452,*
426,Myrmecobius,fasciatus,32.5,400,0.794,14.40456812
427,Hemiechinus,auritus,33.8,400,0.848,9.744572286
428,Dobsonia,moluccensis,36.8,404.3,2.052,16.23993922
429,Bathyergus,janetta,34.7,406,1.201,14.3430194
430,Chinchilla,lanigera,35.7,426,1.117,5.728955556
431,Isoodon,auratus,33.8,428,0.837,21.82102208
432,Brachylagus,idahoensis,*,432,2.145,6.898645018
433,Sciurus,carolinensis,38.7,440,2.062,10.78545331
434,Paraechinus,aethiopicus,34.2,450,0.60625,*
435,Hemicentetes,semispinosus,*,450,0.628,18.29152447
436,Atelerix,albiventris,35.2,450,0.828,24.43118296
437,Epixerus,ebii,*,460,1.347,22.39505493
438,Ctenomys,peruanus,35.2,490,1.23,4.889913081
439,Proechimys,semispinosus,37.9,498,1.75,18.71432415
440,Pteropus,hypomelanus,35.7,520.8,1.618,11.07961971
441,Setifer,setosus,32.2,530,0.68,19.1875934
442,Galerella,sanguinea,38.7,540,2.287,22.64107593
443,Xerus,inauris,36.8,542,1.82,18.97380545
444,Dasyurus,hallucatus,35.9,558,1.356,20.16935044
445,Pteropus,giganteus,36.7,562.2,1.622,22.95556272
446,Pteropus,poliocephalus,36.5,598,1.768,13.93863567
447,Spermophilus,beecheyi,37.6,599.6,1.773,9.371687646
448,Xerus,princeps,37.6,602,1.897,17.24772371
449,Spermophilus,franklinii,36.6,607,2.19,6.47165741
450,Herpestes,javanicus,39.8,611,2.248,19.64594202
451,Bathyergus,suillus,35.3,620,1.695,12.7399683
452,Spilogale,putorius,36.4,624,1.674,12.09196129
453,Sciurus,aberti,40.7,624,2.402,*
454,Cavia,porcellus,39,629,1.93,*
455,Aplodontia,rufa,38,630,1.546,5.975391453
456,Perameles,nasuta,36.1,645,1.763,14.0445635
457,Tenrec,ecaudatus,33,650,0.729,18.96498326
458,Spermophilus,parryi,37,650,2.901,-9.684898309
459,Neovison,vison,39,660,2.722,*
460,Sylvilagus,audubonii,38.3,672.4,2.443,12.61725067
461,Spermophilus,undulatus,38,680,3.721,-5.093179108
462,Ornithorhynchus,anatinus,32.1,693,1.082,12.94892415
463,Echymipera,kalubu,35,695,1.837611111,19.22291052
464,Isoodon,obesulus,33.9,717,1.238,11.23323766
465,Echinosorex,gymnura,36.3,721.2,2.816,20.21551741
466,Erinaceus,europaeus,35.6,750,1.883,5.994156248
467,Philander,opossum,35.8,751,1.886,23.12636491
468,Geocapromys,ingrahami,*,775,1.483,*
469,Kerodon,rupestris,38.2,801,2.011,22.98119714
